recommended_owner,reason,count,avg_runup_pct,symbols,next_action
资金流回调稳健策略,成交额硬门槛错过,349,48.73,"sh600396:华电辽能,sh603538:美诺华,sz002580:圣阳股份,sz003018:金富科技,sh600488:津药药业,sh600683:京投发展,sz002082:万邦德,sz002990:盛视科技,sz002328:新朋股份,sh603687:大胜达,sz003036:泰坦股份,sh605299:舒华体育",改相对成交额/换手/历史分位
资金流回调稳健策略,低位资金结构不达标,71,50.46,"sh600666:奥瑞德,sh603773:沃格光电,sz002636:金安国纪,sz002491:通鼎互联,sh603950:长源东谷,sz003031:中瓷电子,sz002560:通达股份,sz002975:博杰股份,sh603026:石大胜华,sh600487:亨通光电,sh603083:剑桥科技,sz002025:航天电器",可优化发现层打分
资金流回调稳健策略,链路可过但未进Top10,50,48.84,"sz002957:科瑞技术,sh603256:宏和科技,sh603897:长城科技,sh603052:可川科技,sh600186:莲花控股,sh603698:航天工程,sz000070:特发信息,sh600345:长江通信,sz002273:水晶光电,sh600176:中国巨石,sz002475:立讯精密,sz002466:天齐锂业",优化排序/每日容量
趋势中继策略,启动前已涨过,48,65.26,"sz002980:华盛昌,sz002384:东山精密,sh603115:海星股份,sh603629:利通电子,sh601869:长飞光纤,sz002428:云南锗业,sh603618:杭电股份,sh603738:泰晶科技,sz002281:光迅科技,sh603826:坤彩科技,sh600330:天通股份,sh600227:赤天化",研究二波/中继，不强塞回调策略
趋势中继策略,有发现但无回调买点,44,53.62,"sh603778:国晟科技,sh600105:永鼎股份,sz000533:顺钠股份,sh600722:金牛化工,sz001389:广合科技,sz002310:东方新能,sz002364:中恒电气,sz002222:福晶科技,sz002634:棒杰股份,sh603248:锡华科技,sz002938:鹏鼎控股,sh603061:金海通",研究无标准回调的中继买点
消息事件重估策略,资金流特征不足,30,53.44,"sz002432:九安医疗,sz002947:恒铭达,sz002730:电光科技,sh601016:节能风电,sh601778:晶科科技,sz000815:美利云,sh600641:先导基电,sz000601:韶能股份,sz002667:威领股份,sh601868:中国能建,sz002176:江特电机,sh605117:",需要新闻/公司研究解释
资金流回调稳健策略,启动识别缺失,21,44.42,"sz002297:博云新材,sh600961:株冶集团,sz002213:大为股份,sh600208:衢州发展,sz002429:,sh600988:,sh600552:,sz002062:,sh603688:,sh603268:,sh603186:,sz000829:",优化启动识别
趋势中继策略,无标准回调承接,20,41.83,"sz000688:国城矿业,sz002536:飞龙股份,sh600183:生益科技,sh603127:,sz002436:,sz002850:,sz002916:,sh600800:,sh600118:,sz002083:,sz002843:,sz000628:",研究趋势中继买点
组合风险模块复核,被撤买单风险过滤,19,63.21,"sh600726:华电能源,sz001309:德明利,sz002361:神剑股份,sz002008:大族激光,sz002565:顺灏股份,sz002149:西部材料,sz000703:恒逸石化,sz002498:,sz002490:,sz002353:,sz002455:,sz002796:",研究强资金豁免
资金流回调稳健策略,当前策略已抓到,15,55.51,"sz000890:法尔胜,sz002342:巨力索具,sh600370:三房巷,sh600821:金开新能,sz001270:*ST铖昌,sh605376:,sz000534:,sh600703:,sh603992:,sz000960:,sz002272:,sz002407:",保留
资金流回调稳健策略,有发现但排序/交易链路未命中,3,34.72,"sh600711:,sz002532:,sh601975:",优化排序容量或工程链路
组合风险模块复核,被组合风险过滤,3,34.26,"sh603358:,sh601015:,sh600026:",检查是否误杀真强票
人工复盘,其他,1,44.35,sh603459:,人工复盘
