model_id,filter_id,period,month,top1_days,top1_picks,top1_day1_no_red_rate,top1_day2_still_loss_rate,top1_deep_pain_rate,top1_day1_green_rate,top1_day1_positive_close_rate,top1_day1_avg_mfe_pct,top1_day1_median_mfe_pct,top1_day1_avg_close_return_pct,top1_day2_avg_close_return_pct,top1_day2_median_close_return_pct,top1_hit2_rate,top1_hit3_rate,top1_hit5_rate,top1_hit7_rate,top1_hit10_rate,top1_avg_filter_universe,top3_pick_days,top3_pick_picks,top3_pick_day1_no_red_rate,top3_pick_day2_still_loss_rate,top3_pick_deep_pain_rate,top3_pick_day1_green_rate,top3_pick_day1_positive_close_rate,top3_pick_day1_avg_mfe_pct,top3_pick_day1_median_mfe_pct,top3_pick_day1_avg_close_return_pct,top3_pick_day2_avg_close_return_pct,top3_pick_day2_median_close_return_pct,top3_pick_hit2_rate,top3_pick_hit3_rate,top3_pick_hit5_rate,top3_pick_hit7_rate,top3_pick_hit10_rate,top3_pick_avg_filter_universe,top3_any_day1_green_rate,top3_any_hit3_rate,top3_any_hit5_rate,top3_any_day2_non_loss_rate
blitz_1d_fast_feedback,formal_new_or_accel_or_mainline,final_2026,2026-01,20,20,0.2,0.55,0.75,0.8,0.55,4.6314,4.6358,0.4306,-2.0265,-3.9737,0.65,0.55,0.45,0.3,0.1,175.9,20,60,0.1667,0.5167,0.7167,0.8333,0.6,4.6547,4.1659,1.0747,1.0367,-0.29,0.6833,0.5833,0.3833,0.25,0.15,175.9,0.95,0.85,0.6,0.8
blitz_1d_fast_feedback,formal_new_or_accel_or_mainline,final_2026,2026-02,14,14,0.1429,0.4286,0.4286,0.8571,0.6429,5.0817,3.9634,1.3128,0.3256,1.0605,0.7857,0.7143,0.3571,0.3571,0.1429,170.64,14,42,0.0952,0.4286,0.6667,0.9048,0.5952,4.3836,3.7756,0.2759,0.75,1.0205,0.7143,0.619,0.3571,0.1905,0.0714,170.64,1.0,1.0,0.7857,0.7857
blitz_1d_fast_feedback,formal_new_or_accel_or_mainline,final_2026,2026-03,22,22,0.0,0.4091,0.5,1.0,0.7273,5.9271,5.8148,3.8472,4.3142,4.7217,0.8636,0.6818,0.5455,0.2727,0.1364,163.55,22,66,0.0303,0.5152,0.6667,0.9697,0.6061,4.7047,3.4931,1.4393,0.611,-0.6912,0.7273,0.5758,0.3939,0.2424,0.0909,163.55,1.0,0.9545,0.8182,0.8182
blitz_1d_fast_feedback,formal_new_or_accel_or_mainline,final_2026,2026-04,8,8,0.0,0.625,0.75,1.0,0.5,4.5245,5.1608,-0.154,0.5162,-0.2366,0.625,0.625,0.5,0.375,0.0,164.5,8,24,0.0,0.5417,0.625,1.0,0.625,5.4473,4.9162,1.3217,0.932,-0.2366,0.7917,0.7083,0.5,0.4167,0.0417,164.5,1.0,1.0,0.875,0.625
blitz_1d_fast_feedback,trend_forming_top20,internal_a,2025-10,17,17,0.1765,0.5882,0.7059,0.8235,0.4706,3.7701,2.9888,-0.9049,-1.711,-2.8713,0.5882,0.4706,0.2941,0.1176,0.1176,101.47,17,51,0.1569,0.5294,0.7647,0.8431,0.4118,3.4665,2.9586,-1.6615,-1.0838,-1.1192,0.6471,0.4706,0.2549,0.098,0.0588,101.47,1.0,0.8824,0.5882,0.9412
blitz_1d_fast_feedback,trend_forming_top20,internal_a,2025-11,20,20,0.05,0.8,0.85,0.95,0.45,4.6503,4.2773,-0.6001,-3.2597,-4.0617,0.7,0.6,0.4,0.25,0.05,81.5,20,60,0.0833,0.6,0.7667,0.9167,0.4833,5.2224,4.8713,-0.3772,-0.8561,-2.1907,0.7167,0.65,0.4833,0.3,0.1167,81.5,1.0,1.0,0.85,0.75
blitz_1d_fast_feedback,trend_forming_top20,internal_b,2025-12,23,23,0.0435,0.4783,0.8261,0.9565,0.4348,5.2855,3.4843,-0.1405,-0.8435,0.6356,0.8261,0.6522,0.4783,0.2174,0.087,87.74,23,69,0.087,0.5217,0.7536,0.913,0.4348,4.6658,4.3257,-0.6431,-0.376,-0.2792,0.7101,0.6377,0.4493,0.2464,0.0725,87.74,1.0,0.8696,0.7826,0.6957
blitz_1d_fast_feedback,trend_forming_top20,final_2026,2026-01,20,20,0.15,0.45,0.55,0.85,0.65,5.1296,4.9492,1.7913,1.7968,1.2532,0.65,0.65,0.5,0.35,0.15,89.65,20,60,0.2,0.4833,0.6333,0.8,0.6167,4.493,3.7302,0.8414,1.2791,0.3312,0.7,0.6167,0.3167,0.2167,0.1167,89.65,0.95,0.9,0.6,0.75
blitz_1d_fast_feedback,trend_forming_top20,final_2026,2026-02,14,14,0.0714,0.4286,0.7143,0.9286,0.5,4.1985,3.7236,0.5477,1.008,3.1451,0.7143,0.6429,0.2143,0.2143,0.0714,88.5,14,42,0.0714,0.5476,0.8095,0.9286,0.4048,3.9941,3.2287,-0.6551,-0.0912,-1.3805,0.6905,0.5952,0.2857,0.1429,0.0714,88.5,1.0,1.0,0.5714,0.7857
blitz_1d_fast_feedback,trend_forming_top20,final_2026,2026-03,22,22,0.0,0.4545,0.6364,1.0,0.5455,4.8929,3.6322,1.7968,1.4856,4.9173,0.7727,0.6364,0.3636,0.2273,0.0455,89.91,22,66,0.1061,0.4848,0.6667,0.8939,0.5303,4.5398,3.5083,0.9056,0.2894,0.2534,0.6818,0.5606,0.3939,0.2273,0.0606,89.91,1.0,0.9545,0.7273,0.9091
blitz_1d_fast_feedback,trend_forming_top20,final_2026,2026-04,8,8,0.0,0.5,0.375,1.0,0.625,3.6454,2.8518,0.4688,2.1795,0.9978,0.75,0.5,0.25,0.25,0.0,77.88,8,24,0.0,0.375,0.4583,1.0,0.625,3.6679,2.9069,0.8318,1.8376,1.8939,0.6667,0.4583,0.2917,0.2083,0.0,77.88,1.0,0.875,0.625,1.0
blitz_1d_fast_feedback,trend_forming_top10,internal_a,2025-10,17,17,0.1765,0.5882,0.7647,0.8235,0.4118,3.7209,2.9888,-0.9195,-1.7202,-1.1192,0.5294,0.4706,0.2941,0.1176,0.1176,61.71,17,51,0.1176,0.549,0.7059,0.8824,0.4314,3.624,2.7273,-1.124,-1.3194,-1.1192,0.5686,0.4118,0.2549,0.1373,0.098,61.71,1.0,0.7647,0.5882,0.8235
blitz_1d_fast_feedback,trend_forming_top10,internal_a,2025-11,20,20,0.05,0.8,0.85,0.95,0.45,4.1666,4.3766,-0.7803,-1.8092,-2.9569,0.65,0.55,0.35,0.2,0.0,45.45,20,60,0.1,0.6,0.7167,0.9,0.45,4.641,4.5427,-0.369,-1.4286,-1.7298,0.6333,0.5667,0.4333,0.2667,0.0667,45.45,1.0,0.95,0.8,0.75
blitz_1d_fast_feedback,trend_forming_top10,internal_b,2025-12,23,23,0.0435,0.5217,0.8261,0.9565,0.3478,4.6685,3.4843,-1.3179,0.0408,-0.2792,0.7391,0.5652,0.4348,0.2609,0.0435,51.04,23,69,0.1304,0.5507,0.7536,0.8696,0.3913,4.0014,3.4739,-1.0327,-0.5898,-0.2976,0.6522,0.5362,0.3478,0.1739,0.0435,51.04,1.0,0.8261,0.6522,0.7391
blitz_1d_fast_feedback,trend_forming_top10,final_2026,2026-01,20,20,0.2,0.55,0.75,0.8,0.5,3.5229,2.8859,-0.5417,-0.7623,-3.8886,0.65,0.5,0.3,0.15,0.05,46.6,20,60,0.1833,0.4833,0.7,0.8167,0.4833,3.6894,3.2332,-0.5086,0.2569,0.8843,0.6833,0.55,0.2667,0.15,0.0333,46.6,0.95,0.9,0.6,0.75
blitz_1d_fast_feedback,trend_forming_top10,final_2026,2026-02,14,14,0.0,0.5714,0.8571,1.0,0.3571,3.9502,3.0265,-1.1918,-1.2068,-2.1086,0.6429,0.5,0.2143,0.1429,0.0714,57.79,14,42,0.0476,0.5238,0.7143,0.9524,0.4048,3.7483,3.0917,-0.7054,-0.4525,-0.876,0.6667,0.5476,0.2857,0.0952,0.0238,57.79,1.0,1.0,0.6429,0.7857
blitz_1d_fast_feedback,trend_forming_top10,final_2026,2026-03,22,22,0.0909,0.4091,0.6364,0.9091,0.5909,4.388,2.9922,1.5633,2.1179,5.2498,0.5909,0.5,0.3182,0.2273,0.0909,62.09,22,66,0.0909,0.5,0.697,0.9091,0.4545,4.1451,3.0087,-0.1248,0.1264,-0.1787,0.6667,0.5,0.3333,0.2273,0.0606,62.09,1.0,0.8182,0.6364,0.7273
blitz_1d_fast_feedback,trend_forming_top10,final_2026,2026-04,8,8,0.0,0.5,0.375,1.0,0.625,3.777,2.8518,0.1826,0.753,0.9978,0.75,0.5,0.25,0.25,0.0,66.5,8,24,0.0,0.375,0.4583,1.0,0.625,3.8638,2.9069,0.9333,1.537,1.8939,0.7083,0.4583,0.2917,0.2083,0.0,66.5,1.0,1.0,0.75,1.0
